Total Line Failures,Steady State,Accumulation of Failed Capacities
2,2,6136.0
3,3,6170.0
4,-1,6199.0
2,2,6161.0
3,-1,6192.0
2,-1,6140.0
2,2,6127.0
3,3,6143.0
4,-1,6133.0
2,-1,6137.0
2,2,6137.0
3,-1,6165.0
2,2,6130.0
3,3,6161.0
4,4,6208.0
5,5,6243.0
6,6,6276.0
7,-1,6277.0
2,2,6126.0
3,-1,6128.0
2,2,6183.0
3,-1,6219.0
2,-1,6125.0
2,2,6156.0
3,3,6181.0
4,4,6177.0
5,5,6197.0
6,-1,6211.0
2,2,6125.0
3,-1,6137.0
2,2,6152.0
3,3,6146.0
4,-1,6146.0
2,2,6150.0
3,3,6165.0
4,4,6191.0
5,-1,6186.0
2,-1,6144.0
2,2,6220.0
3,3,6233.0
4,-1,6235.0
2,2,6132.0
3,-1,6174.0
2,-1,6174.0
2,-1,6109.0
2,2,6130.0
3,-1,6137.0
2,2,6156.0
3,3,6155.0
4,-1,6146.0
2,2,6167.0
3,3,6180.0
4,-1,6160.0
2,-1,6129.0
2,-1,6144.0
2,2,6114.0
3,-1,6108.0
2,2,6138.0
3,3,6167.0
4,-1,6167.0
2,2,6137.0
3,-1,6166.0
2,-1,6184.0
2,2,6151.0
3,-1,6164.0
2,2,6154.0
3,-1,6158.0
2,2,6156.0
3,3,6181.0
4,-1,6177.0
2,2,6143.0
3,-1,6172.0
2,2,6142.0
3,-1,6167.0
2,2,6161.0
3,3,6145.0
4,4,6156.0
5,5,6269.0
6,6,6257.0
7,-1,6177.0
2,-1,6222.0
2,-1,6376.0
2,2,6152.0
3,-1,6153.0
2,2,6178.0
3,3,6133.0
4,4,6135.0
5,-1,6135.0
2,2,6162.0
3,-1,6180.0
2,2,6136.0
3,3,6132.0
4,-1,6159.0
2,2,6136.0
3,3,6136.0
4,-1,6136.0
2,-1,6141.0
2,2,6157.0
3,3,6142.0
4,4,6154.0
5,5,6186.0
6,6,6205.0
7,7,6202.0
8,8,6202.0
9,-1,6202.0
2,2,6141.0
3,-1,6174.0
2,2,6116.0
3,3,6118.0
4,-1,6117.0
2,-1,6136.0
2,-1,6149.0
2,2,6136.0
3,3,6166.0
4,4,6160.0
5,-1,6196.0
2,2,6177.0
3,-1,6194.0
2,2,6209.0
3,3,6174.0
4,-1,6171.0
2,-1,6130.0
2,2,6167.0
3,3,6166.0
4,-1,6155.0
2,-1,6136.0
2,2,6129.0
3,3,6174.0
4,-1,6170.0
2,-1,6156.0
2,2,6130.0
3,3,6152.0
4,-1,6152.0
2,2,6125.0
3,3,6125.0
4,4,6124.0
5,-1,6158.0
2,2,6130.0
3,-1,6166.0
2,2,6137.0
3,-1,6166.0
2,2,6133.0
3,3,6140.0
4,4,6157.0
5,5,6144.0
6,6,6159.0
7,-1,6159.0
2,2,6137.0
3,-1,6166.0
2,2,6148.0
3,3,6131.0
4,4,6131.0
5,5,6158.0
6,6,6158.0
7,7,6146.0
8,8,6174.0
9,9,6174.0
10,10,6180.0
11,11,6178.0
12,12,6158.0
13,13,6292.0
14,14,6296.0
15,15,6104.0
16,-1,6109.0
2,2,6165.0
3,3,6166.0
4,-1,6193.0
2,2,6154.0
3,3,6169.0
4,4,6165.0
5,5,6163.0
6,6,6156.0
7,7,6201.0
8,8,6242.0
9,9,6241.0
10,-1,6241.0
2,-1,6161.0
2,2,6151.0
3,-1,6164.0
2,-1,6138.0
2,2,6134.0
3,3,6151.0
4,-1,6160.0
2,2,6164.0
3,-1,6146.0
2,-1,6137.0
2,-1,6139.0
2,2,6130.0
3,-1,6165.0
2,2,6138.0
3,3,6126.0
4,4,6158.0
5,-1,6156.0
2,2,6146.0
3,-1,6162.0
2,2,6138.0
3,-1,6126.0
2,-1,6137.0
2,-1,6140.0
