Total Line Failures,Steady State,Accumulation of Failed Capacities
9,-1,6101.0
5,-1,6095.0
5,2,6116.0
6,3,6129.0
7,4,6129.0
8,-1,6127.0
5,-1,6189.0
5,2,6113.0
6,3,6110.0
7,4,6122.0
8,5,6122.0
9,6,6123.0
10,7,6150.0
11,-1,6139.0
5,2,6108.0
6,-1,6107.0
5,-1,6111.0
5,2,6189.0
6,3,6195.0
7,-1,6195.0
5,2,6091.0
6,3,6089.0
7,4,6088.0
8,5,6110.0
9,-1,6101.0
5,2,6131.0
6,3,6127.0
7,-1,6129.0
5,-1,6128.0
5,-1,6146.0
5,-1,6126.0
5,2,6090.0
6,3,6115.0
7,4,6119.0
8,-1,6122.0
5,-1,6104.0
5,2,6124.0
6,3,6126.0
7,4,6149.0
8,5,6150.0
9,6,6150.0
10,7,6124.0
11,8,6108.0
12,9,6101.0
13,10,6084.0
14,11,6108.0
15,12,6123.0
16,13,6123.0
17,14,6107.0
18,15,6107.0
19,16,6107.0
20,17,6118.0
21,18,6119.0
22,19,6129.0
23,20,6128.0
24,21,6132.0
25,22,6149.0
26,23,6143.0
27,24,6229.0
28,25,6238.0
29,26,6211.0
30,27,6139.0
31,28,6140.0
32,29,6182.0
33,30,6154.0
34,31,6173.0
35,32,6209.0
36,33,6175.0
37,34,6218.0
38,35,6241.0
39,36,6264.0
40,-1,6298.0
5,2,6093.0
6,3,6110.0
7,4,6100.0
8,5,6066.0
9,6,6169.0
10,7,6157.0
11,8,6215.0
12,-1,6215.0
5,-1,6121.0
5,2,6128.0
6,-1,6142.0
5,-1,6096.0
5,2,6186.0
6,3,6186.0
7,-1,6210.0
5,2,6097.0
6,3,6097.0
7,4,6099.0
8,-1,6104.0
5,-1,6080.0
5,2,6053.0
6,3,6049.0
7,4,6049.0
8,5,6029.0
9,6,6034.0
10,7,6130.0
11,-1,6133.0
5,2,6195.0
6,3,6195.0
7,4,6195.0
8,5,6195.0
9,6,6195.0
10,-1,6175.0
5,2,6124.0
6,3,6089.0
7,-1,6091.0
5,-1,6096.0
5,2,6083.0
6,3,6076.0
7,4,6105.0
8,-1,6120.0
5,2,6117.0
6,3,6127.0
7,4,6145.0
8,-1,6116.0
5,2,6122.0
6,3,6119.0
7,-1,6119.0
5,2,6080.0
6,3,6060.0
7,4,6060.0
8,5,6060.0
9,6,6060.0
10,7,6060.0
11,8,6060.0
12,9,6060.0
13,10,6050.0
14,11,6060.0
15,12,6060.0
16,13,6048.0
17,14,6035.0
18,15,6043.0
19,16,6185.0
20,17,6185.0
21,18,6162.0
22,-1,6153.0
5,-1,6116.0
5,-1,6145.0
5,-1,6113.0
5,2,6199.0
6,3,6215.0
7,-1,6215.0
5,2,6133.0
6,3,6138.0
7,4,6138.0
