Total Line Failures,Steady State,Accumulation of Failed Capacities
16,15,6133.0
17,16,6133.0
18,17,6133.0
19,18,6161.0
20,19,6161.0
21,20,6162.0
22,21,6158.0
23,22,6158.0
24,23,6157.0
25,24,6142.0
26,25,6158.0
27,26,6172.0
28,27,6177.0
29,-1,6211.0
3,2,6195.0
4,3,6163.0
5,4,6162.0
6,-1,6171.0
3,-1,6187.0
3,-1,6147.0
3,2,6141.0
4,3,6141.0
5,4,6164.0
6,-1,6131.0
3,2,6153.0
4,3,6208.0
5,4,6189.0
6,-1,6188.0
3,-1,6112.0
3,-1,6196.0
3,2,6149.0
4,3,6151.0
5,4,6134.0
6,5,6135.0
7,-1,6127.0
3,-1,6187.0
3,2,6172.0
4,-1,6159.0
3,2,6252.0
4,3,6249.0
5,-1,6230.0
3,2,6140.0
4,3,6141.0
5,4,6127.0
6,5,6149.0
7,6,6137.0
8,-1,6163.0
3,2,6137.0
4,-1,6138.0
3,2,6181.0
4,-1,6178.0
3,2,6139.0
4,-1,6139.0
3,2,6167.0
4,-1,6153.0
3,2,6153.0
4,-1,6149.0
3,-1,6173.0
3,-1,6140.0
3,2,6157.0
4,3,6198.0
5,4,6198.0
6,5,6135.0
7,6,6132.0
8,-1,6215.0
3,2,6112.0
4,-1,6112.0
3,-1,6148.0
3,2,6157.0
4,3,6157.0
5,4,6140.0
6,-1,6247.0
3,-1,6152.0
3,-1,6169.0
3,-1,6131.0
3,2,6135.0
4,3,6190.0
5,-1,6160.0
3,2,6092.0
4,3,6119.0
5,4,6063.0
6,5,6138.0
7,6,6125.0
8,7,6125.0
9,8,6125.0
10,9,6127.0
11,10,6130.0
12,11,6117.0
13,12,6198.0
14,13,6224.0
15,14,6220.0
16,15,6243.0
17,16,6291.0
18,17,6284.0
19,18,6227.0
20,19,6286.0
21,20,6304.0
22,21,6304.0
23,22,6278.0
24,23,6249.0
25,24,6251.0
26,25,6286.0
27,26,6248.0
28,27,6154.0
29,28,6172.0
30,29,6171.0
31,30,6182.0
32,31,6194.0
33,32,6159.0
34,33,6173.0
35,34,6187.0
36,-1,6282.0
3,2,6159.0
4,3,6155.0
5,-1,6146.0
3,-1,6154.0
3,-1,6141.0
3,2,6152.0
4,-1,6158.0
3,-1,6152.0
3,2,6183.0
4,3,6219.0
5,-1,6173.0
3,2,6190.0
4,3,6213.0
5,-1,6207.0
3,2,6112.0
4,3,6085.0
